id;faculty_id;name;phone_number;designation;personal_email_id;university_email_id;is_active;department_id;date_of_joining;date_of_leaving
1;a188ca7b-ec13-4153-ba5b-2cc20dda8e13;content TCP Intelligent;"\1 4\dd-\ddd-\dddd";GRADER;functionalities;deliver;false;51251;"03-2\d-\dd";"02-02-\dd"
2;4f1bea05-3792-4927-976b-a53e6aa4a79a;Kansas Sleek Run;"\\\\\1 8\dd-\ddd-\dddd";GRADER;Berkshire;Mauritius multi-byte Fresh;false;66771;"09-1\d-\dd";"04-1\d-\dd"
3;7e32beff-6898-4c51-bb73-c16843a6f37b;purple Supervisor Small;"\\\\\1 5\dd-\ddd-\dddd";GRADER;sensor;Senior auxiliary Soap;true;11628;"11-01-\dd";"11-2\d-\dd"
4;daa99798-4a1c-4a89-ac48-f88840a1a43b;web-readiness Senior circuit;"\\\\\1 5\dd-\ddd-\dddd";RESERACHASSISTENT;Handmade upward-trending Baby;Fish Account;false;5688;"10-30-\dd";"03-30-\dd"
5;2260a3d4-d085-4aa6-a6c0-687a6bfa98f9;blue Applications firewall;"\1 1\dd-\ddd-\dddd";TEACHINGASSISTENT;Wooden;open-source;true;37844;"10-1\d-\dd";"10-03-\dd"
6;9cf63050-6387-48c6-86c4-ddb082c42cff;Heights Avon Digitized;"\\\\\\1 9\dd-\ddd-\dddd";RESERACHASSISTENT;firewall;Games;true;57936;"12-31-\dd";"10-31-\dd"
7;f3f0d04a-524d-4364-acab-a20bf5d74054;Dynamic;"\\\\\\1 4\dd-\ddd-\dddd";GRADER;program architect panel;bi-directional haptic;false;82774;"07-07-\dd";"02-1\d-\dd"
8;5d5bf8b9-d3af-4433-9fe6-2ce4ee265a13;e-commerce;"\\\\\1 5\dd-\ddd-\dddd";PROFESSOR;Accountability capacitor Tools;Chicken;false;67115;"09-31-\dd";"04-2\d-\dd"
9;8eeb8c95-fc6d-4ac1-bef9-a965712f8dac;encoding Borders;"\1 8\dd-\ddd-\dddd";RESERACHASSISTENT;dot-com Bahamas;Loan Dynamic CSS;true;88398;"06-2\d-\dd";"09-2\d-\dd"
10;3925e33f-ea7c-49c5-a0fc-0cd7f2ea8f26;Extended Ohio Loan;"\\\\\\1 3\dd-\ddd-\dddd";TEACHINGASSISTENT;directional;Grocery;false;12566;"05-1\d-\dd";"12-02-\dd"
